mode,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-fp16,16,16,4096,12,2,128,warmup,0,1870,0
scna-fp16,16,16,4096,12,2,128,warmup,1,1894,0
scna-fp16,16,16,4096,12,2,128,warmup,2,1875,0
scna-fp16,16,16,4096,12,2,128,warmup,3,1871,0
scna-fp16,16,16,4096,12,2,128,warmup,4,1970,0
scna-fp16,16,16,4096,12,2,128,measure,0,1874,0
scna-fp16,16,16,4096,12,2,128,measure,1,1859,0
scna-fp16,16,16,4096,12,2,128,measure,2,1973,0
scna-fp16,16,16,4096,12,2,128,measure,3,2126,0
scna-fp16,16,16,4096,12,2,128,measure,4,2145,0
scna-fp16,16,16,4096,12,2,128,measure,5,2118,0
scna-fp16,16,16,4096,12,2,128,measure,6,2101,0
scna-fp16,16,16,4096,12,2,128,measure,7,2101,0
scna-fp16,16,16,4096,12,2,128,measure,8,2058,0
scna-fp16,16,16,4096,12,2,128,measure,9,2086,0
scna-fp16,16,16,4096,12,2,128,measure,10,2077,0
scna-fp16,16,16,4096,12,2,128,measure,11,2125,0
scna-fp16,16,16,4096,12,2,128,measure,12,2109,0
scna-fp16,16,16,4096,12,2,128,measure,13,2093,0
scna-fp16,16,16,4096,12,2,128,measure,14,2017,0
scna-fp16,16,16,4096,12,2,128,measure,15,2093,0
scna-fp16,16,16,4096,12,2,128,measure,16,2024,0
scna-fp16,16,16,4096,12,2,128,measure,17,2010,0
scna-fp16,16,16,4096,12,2,128,measure,18,2000,0
scna-fp16,16,16,4096,12,2,128,measure,19,1987,0
