mode,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-int8,32,32,4096,12,2,128,warmup,0,3570,0
scna-int8,32,32,4096,12,2,128,warmup,1,3710,0
scna-int8,32,32,4096,12,2,128,warmup,2,3739,0
scna-int8,32,32,4096,12,2,128,warmup,3,3726,0
scna-int8,32,32,4096,12,2,128,warmup,4,3743,0
scna-int8,32,32,4096,12,2,128,measure,0,3622,0
scna-int8,32,32,4096,12,2,128,measure,1,3808,0
scna-int8,32,32,4096,12,2,128,measure,2,3813,0
scna-int8,32,32,4096,12,2,128,measure,3,3729,0
scna-int8,32,32,4096,12,2,128,measure,4,3806,0
scna-int8,32,32,4096,12,2,128,measure,5,3812,0
scna-int8,32,32,4096,12,2,128,measure,6,3794,0
scna-int8,32,32,4096,12,2,128,measure,7,3829,0
scna-int8,32,32,4096,12,2,128,measure,8,3671,0
scna-int8,32,32,4096,12,2,128,measure,9,3725,0
scna-int8,32,32,4096,12,2,128,measure,10,3708,0
scna-int8,32,32,4096,12,2,128,measure,11,3708,0
scna-int8,32,32,4096,12,2,128,measure,12,3715,0
scna-int8,32,32,4096,12,2,128,measure,13,3741,0
scna-int8,32,32,4096,12,2,128,measure,14,3688,0
scna-int8,32,32,4096,12,2,128,measure,15,3715,0
scna-int8,32,32,4096,12,2,128,measure,16,3803,0
scna-int8,32,32,4096,12,2,128,measure,17,3744,0
scna-int8,32,32,4096,12,2,128,measure,18,3773,0
scna-int8,32,32,4096,12,2,128,measure,19,3670,0
