mode,scna_function,scna_kernel,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
baseline,exp2,direct,0,16,4096,12,2,128,warmup,0,1578,0
baseline,exp2,direct,0,16,4096,12,2,128,warmup,1,1553,0
baseline,exp2,direct,0,16,4096,12,2,128,warmup,2,1540,0
baseline,exp2,direct,0,16,4096,12,2,128,warmup,3,1549,0
baseline,exp2,direct,0,16,4096,12,2,128,warmup,4,1550,0
baseline,exp2,direct,0,16,4096,12,2,128,measure,0,1539,0
baseline,exp2,direct,0,16,4096,12,2,128,measure,1,1573,0
baseline,exp2,direct,0,16,4096,12,2,128,measure,2,1557,0
baseline,exp2,direct,0,16,4096,12,2,128,measure,3,1545,0
baseline,exp2,direct,0,16,4096,12,2,128,measure,4,1539,0
baseline,exp2,direct,0,16,4096,12,2,128,measure,5,1581,0
baseline,exp2,direct,0,16,4096,12,2,128,measure,6,1675,0
baseline,exp2,direct,0,16,4096,12,2,128,measure,7,1627,0
baseline,exp2,direct,0,16,4096,12,2,128,measure,8,1601,0
baseline,exp2,direct,0,16,4096,12,2,128,measure,9,1589,0
baseline,exp2,direct,0,16,4096,12,2,128,measure,10,1603,0
baseline,exp2,direct,0,16,4096,12,2,128,measure,11,1630,0
baseline,exp2,direct,0,16,4096,12,2,128,measure,12,1616,0
baseline,exp2,direct,0,16,4096,12,2,128,measure,13,1540,0
baseline,exp2,direct,0,16,4096,12,2,128,measure,14,1656,0
baseline,exp2,direct,0,16,4096,12,2,128,measure,15,1616,0
baseline,exp2,direct,0,16,4096,12,2,128,measure,16,1586,0
baseline,exp2,direct,0,16,4096,12,2,128,measure,17,1609,0
baseline,exp2,direct,0,16,4096,12,2,128,measure,18,1608,0
baseline,exp2,direct,0,16,4096,12,2,128,measure,19,1710,0
