mode,scna_function,scna_kernel,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-fp16,exp2,direct,32,16,4096,12,2,128,warmup,0,2514,0
scna-fp16,exp2,direct,32,16,4096,12,2,128,warmup,1,2534,0
scna-fp16,exp2,direct,32,16,4096,12,2,128,warmup,2,2498,0
scna-fp16,exp2,direct,32,16,4096,12,2,128,warmup,3,2541,0
scna-fp16,exp2,direct,32,16,4096,12,2,128,warmup,4,2620,0
scna-fp16,exp2,direct,32,16,4096,12,2,128,measure,0,2622,0
scna-fp16,exp2,direct,32,16,4096,12,2,128,measure,1,2500,0
scna-fp16,exp2,direct,32,16,4096,12,2,128,measure,2,2495,0
scna-fp16,exp2,direct,32,16,4096,12,2,128,measure,3,2586,0
scna-fp16,exp2,direct,32,16,4096,12,2,128,measure,4,2551,0
scna-fp16,exp2,direct,32,16,4096,12,2,128,measure,5,2665,0
scna-fp16,exp2,direct,32,16,4096,12,2,128,measure,6,2631,0
scna-fp16,exp2,direct,32,16,4096,12,2,128,measure,7,2654,0
scna-fp16,exp2,direct,32,16,4096,12,2,128,measure,8,2540,0
scna-fp16,exp2,direct,32,16,4096,12,2,128,measure,9,2540,0
scna-fp16,exp2,direct,32,16,4096,12,2,128,measure,10,2560,0
scna-fp16,exp2,direct,32,16,4096,12,2,128,measure,11,2548,0
scna-fp16,exp2,direct,32,16,4096,12,2,128,measure,12,2630,0
scna-fp16,exp2,direct,32,16,4096,12,2,128,measure,13,2639,0
scna-fp16,exp2,direct,32,16,4096,12,2,128,measure,14,2679,0
scna-fp16,exp2,direct,32,16,4096,12,2,128,measure,15,2512,0
scna-fp16,exp2,direct,32,16,4096,12,2,128,measure,16,2524,0
scna-fp16,exp2,direct,32,16,4096,12,2,128,measure,17,2519,0
scna-fp16,exp2,direct,32,16,4096,12,2,128,measure,18,2506,0
scna-fp16,exp2,direct,32,16,4096,12,2,128,measure,19,2576,0
