mode,scna_function,scna_kernel,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-fp16,exp2,tree,8,32,4096,12,2,128,warmup,0,2429,0
scna-fp16,exp2,tree,8,32,4096,12,2,128,warmup,1,2391,0
scna-fp16,exp2,tree,8,32,4096,12,2,128,warmup,2,2418,0
scna-fp16,exp2,tree,8,32,4096,12,2,128,warmup,3,2441,0
scna-fp16,exp2,tree,8,32,4096,12,2,128,warmup,4,2520,0
scna-fp16,exp2,tree,8,32,4096,12,2,128,measure,0,2509,0
scna-fp16,exp2,tree,8,32,4096,12,2,128,measure,1,2514,0
scna-fp16,exp2,tree,8,32,4096,12,2,128,measure,2,2500,0
scna-fp16,exp2,tree,8,32,4096,12,2,128,measure,3,2596,0
scna-fp16,exp2,tree,8,32,4096,12,2,128,measure,4,2505,0
scna-fp16,exp2,tree,8,32,4096,12,2,128,measure,5,2561,0
scna-fp16,exp2,tree,8,32,4096,12,2,128,measure,6,2619,0
scna-fp16,exp2,tree,8,32,4096,12,2,128,measure,7,2639,0
scna-fp16,exp2,tree,8,32,4096,12,2,128,measure,8,2703,0
scna-fp16,exp2,tree,8,32,4096,12,2,128,measure,9,2640,0
scna-fp16,exp2,tree,8,32,4096,12,2,128,measure,10,2626,0
scna-fp16,exp2,tree,8,32,4096,12,2,128,measure,11,2598,0
scna-fp16,exp2,tree,8,32,4096,12,2,128,measure,12,2621,0
scna-fp16,exp2,tree,8,32,4096,12,2,128,measure,13,2733,0
scna-fp16,exp2,tree,8,32,4096,12,2,128,measure,14,2593,0
scna-fp16,exp2,tree,8,32,4096,12,2,128,measure,15,2616,0
scna-fp16,exp2,tree,8,32,4096,12,2,128,measure,16,2602,0
scna-fp16,exp2,tree,8,32,4096,12,2,128,measure,17,2597,0
scna-fp16,exp2,tree,8,32,4096,12,2,128,measure,18,2623,0
scna-fp16,exp2,tree,8,32,4096,12,2,128,measure,19,2611,0
