mode,scna_function,scna_kernel,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-int8,exp2,direct,32,16,4096,12,2,128,warmup,0,2415,0
scna-int8,exp2,direct,32,16,4096,12,2,128,warmup,1,2287,0
scna-int8,exp2,direct,32,16,4096,12,2,128,warmup,2,2284,0
scna-int8,exp2,direct,32,16,4096,12,2,128,warmup,3,2272,0
scna-int8,exp2,direct,32,16,4096,12,2,128,warmup,4,2253,0
scna-int8,exp2,direct,32,16,4096,12,2,128,measure,0,2260,0
scna-int8,exp2,direct,32,16,4096,12,2,128,measure,1,2261,0
scna-int8,exp2,direct,32,16,4096,12,2,128,measure,2,2254,0
scna-int8,exp2,direct,32,16,4096,12,2,128,measure,3,2268,0
scna-int8,exp2,direct,32,16,4096,12,2,128,measure,4,2316,0
scna-int8,exp2,direct,32,16,4096,12,2,128,measure,5,2407,0
scna-int8,exp2,direct,32,16,4096,12,2,128,measure,6,2492,0
scna-int8,exp2,direct,32,16,4096,12,2,128,measure,7,2480,0
scna-int8,exp2,direct,32,16,4096,12,2,128,measure,8,2467,0
scna-int8,exp2,direct,32,16,4096,12,2,128,measure,9,2472,0
scna-int8,exp2,direct,32,16,4096,12,2,128,measure,10,2384,0
scna-int8,exp2,direct,32,16,4096,12,2,128,measure,11,2456,0
scna-int8,exp2,direct,32,16,4096,12,2,128,measure,12,2441,0
scna-int8,exp2,direct,32,16,4096,12,2,128,measure,13,2460,0
scna-int8,exp2,direct,32,16,4096,12,2,128,measure,14,2495,0
scna-int8,exp2,direct,32,16,4096,12,2,128,measure,15,2404,0
scna-int8,exp2,direct,32,16,4096,12,2,128,measure,16,2387,0
scna-int8,exp2,direct,32,16,4096,12,2,128,measure,17,2428,0
scna-int8,exp2,direct,32,16,4096,12,2,128,measure,18,2416,0
scna-int8,exp2,direct,32,16,4096,12,2,128,measure,19,2314,0
