mode,scna_function,scna_kernel,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-int8,exp2,tree,32,16,4096,12,2,128,warmup,0,2098,0
scna-int8,exp2,tree,32,16,4096,12,2,128,warmup,1,2076,0
scna-int8,exp2,tree,32,16,4096,12,2,128,warmup,2,2115,0
scna-int8,exp2,tree,32,16,4096,12,2,128,warmup,3,2109,0
scna-int8,exp2,tree,32,16,4096,12,2,128,warmup,4,2095,0
scna-int8,exp2,tree,32,16,4096,12,2,128,measure,0,2073,0
scna-int8,exp2,tree,32,16,4096,12,2,128,measure,1,2092,0
scna-int8,exp2,tree,32,16,4096,12,2,128,measure,2,2180,0
scna-int8,exp2,tree,32,16,4096,12,2,128,measure,3,2147,0
scna-int8,exp2,tree,32,16,4096,12,2,128,measure,4,2214,0
scna-int8,exp2,tree,32,16,4096,12,2,128,measure,5,2212,0
scna-int8,exp2,tree,32,16,4096,12,2,128,measure,6,2084,0
scna-int8,exp2,tree,32,16,4096,12,2,128,measure,7,2116,0
scna-int8,exp2,tree,32,16,4096,12,2,128,measure,8,2199,0
scna-int8,exp2,tree,32,16,4096,12,2,128,measure,9,2114,0
scna-int8,exp2,tree,32,16,4096,12,2,128,measure,10,2132,0
scna-int8,exp2,tree,32,16,4096,12,2,128,measure,11,2114,0
scna-int8,exp2,tree,32,16,4096,12,2,128,measure,12,2136,0
scna-int8,exp2,tree,32,16,4096,12,2,128,measure,13,2125,0
scna-int8,exp2,tree,32,16,4096,12,2,128,measure,14,2066,0
scna-int8,exp2,tree,32,16,4096,12,2,128,measure,15,2180,0
scna-int8,exp2,tree,32,16,4096,12,2,128,measure,16,2150,0
scna-int8,exp2,tree,32,16,4096,12,2,128,measure,17,2139,0
scna-int8,exp2,tree,32,16,4096,12,2,128,measure,18,2122,0
scna-int8,exp2,tree,32,16,4096,12,2,128,measure,19,2119,0
