mode,scna_function,scna_kernel,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-fp16,exp,direct,8,4,4096,12,2,128,warmup,0,1239,0
scna-fp16,exp,direct,8,4,4096,12,2,128,warmup,1,993,0
scna-fp16,exp,direct,8,4,4096,12,2,128,warmup,2,997,0
scna-fp16,exp,direct,8,4,4096,12,2,128,warmup,3,1006,0
scna-fp16,exp,direct,8,4,4096,12,2,128,warmup,4,1010,0
scna-fp16,exp,direct,8,4,4096,12,2,128,measure,0,996,0
scna-fp16,exp,direct,8,4,4096,12,2,128,measure,1,1054,0
scna-fp16,exp,direct,8,4,4096,12,2,128,measure,2,1051,0
scna-fp16,exp,direct,8,4,4096,12,2,128,measure,3,1170,0
scna-fp16,exp,direct,8,4,4096,12,2,128,measure,4,1162,0
scna-fp16,exp,direct,8,4,4096,12,2,128,measure,5,1165,0
scna-fp16,exp,direct,8,4,4096,12,2,128,measure,6,1162,0
scna-fp16,exp,direct,8,4,4096,12,2,128,measure,7,1161,0
scna-fp16,exp,direct,8,4,4096,12,2,128,measure,8,1165,0
scna-fp16,exp,direct,8,4,4096,12,2,128,measure,9,1168,0
scna-fp16,exp,direct,8,4,4096,12,2,128,measure,10,1161,0
scna-fp16,exp,direct,8,4,4096,12,2,128,measure,11,1163,0
scna-fp16,exp,direct,8,4,4096,12,2,128,measure,12,1057,0
scna-fp16,exp,direct,8,4,4096,12,2,128,measure,13,1106,0
scna-fp16,exp,direct,8,4,4096,12,2,128,measure,14,1131,0
scna-fp16,exp,direct,8,4,4096,12,2,128,measure,15,1219,0
scna-fp16,exp,direct,8,4,4096,12,2,128,measure,16,1215,0
scna-fp16,exp,direct,8,4,4096,12,2,128,measure,17,1191,0
scna-fp16,exp,direct,8,4,4096,12,2,128,measure,18,1187,0
scna-fp16,exp,direct,8,4,4096,12,2,128,measure,19,1167,0
