mode,scna_function,scna_kernel,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-fp16,exp,tree,8,32,4096,12,2,128,warmup,0,2488,0
scna-fp16,exp,tree,8,32,4096,12,2,128,warmup,1,2515,0
scna-fp16,exp,tree,8,32,4096,12,2,128,warmup,2,2504,0
scna-fp16,exp,tree,8,32,4096,12,2,128,warmup,3,2504,0
scna-fp16,exp,tree,8,32,4096,12,2,128,warmup,4,2508,0
scna-fp16,exp,tree,8,32,4096,12,2,128,measure,0,2503,0
scna-fp16,exp,tree,8,32,4096,12,2,128,measure,1,2628,0
scna-fp16,exp,tree,8,32,4096,12,2,128,measure,2,2625,0
scna-fp16,exp,tree,8,32,4096,12,2,128,measure,3,2641,0
scna-fp16,exp,tree,8,32,4096,12,2,128,measure,4,2665,0
scna-fp16,exp,tree,8,32,4096,12,2,128,measure,5,2638,0
scna-fp16,exp,tree,8,32,4096,12,2,128,measure,6,2662,0
scna-fp16,exp,tree,8,32,4096,12,2,128,measure,7,2659,0
scna-fp16,exp,tree,8,32,4096,12,2,128,measure,8,2666,0
scna-fp16,exp,tree,8,32,4096,12,2,128,measure,9,2604,0
scna-fp16,exp,tree,8,32,4096,12,2,128,measure,10,2667,0
scna-fp16,exp,tree,8,32,4096,12,2,128,measure,11,2637,0
scna-fp16,exp,tree,8,32,4096,12,2,128,measure,12,2658,0
scna-fp16,exp,tree,8,32,4096,12,2,128,measure,13,2656,0
scna-fp16,exp,tree,8,32,4096,12,2,128,measure,14,2717,0
scna-fp16,exp,tree,8,32,4096,12,2,128,measure,15,2638,0
scna-fp16,exp,tree,8,32,4096,12,2,128,measure,16,2634,0
scna-fp16,exp,tree,8,32,4096,12,2,128,measure,17,2665,0
scna-fp16,exp,tree,8,32,4096,12,2,128,measure,18,2618,0
scna-fp16,exp,tree,8,32,4096,12,2,128,measure,19,2687,0
