mode,scna_function,scna_kernel,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-int8,exp,direct,8,8,4096,12,2,128,warmup,0,1425,0
scna-int8,exp,direct,8,8,4096,12,2,128,warmup,1,1405,0
scna-int8,exp,direct,8,8,4096,12,2,128,warmup,2,1423,0
scna-int8,exp,direct,8,8,4096,12,2,128,warmup,3,1395,0
scna-int8,exp,direct,8,8,4096,12,2,128,warmup,4,1407,0
scna-int8,exp,direct,8,8,4096,12,2,128,measure,0,1392,0
scna-int8,exp,direct,8,8,4096,12,2,128,measure,1,1391,0
scna-int8,exp,direct,8,8,4096,12,2,128,measure,2,1396,0
scna-int8,exp,direct,8,8,4096,12,2,128,measure,3,1394,0
scna-int8,exp,direct,8,8,4096,12,2,128,measure,4,1392,0
scna-int8,exp,direct,8,8,4096,12,2,128,measure,5,1410,0
scna-int8,exp,direct,8,8,4096,12,2,128,measure,6,1396,0
scna-int8,exp,direct,8,8,4096,12,2,128,measure,7,1380,0
scna-int8,exp,direct,8,8,4096,12,2,128,measure,8,1516,0
scna-int8,exp,direct,8,8,4096,12,2,128,measure,9,1452,0
scna-int8,exp,direct,8,8,4096,12,2,128,measure,10,1475,0
scna-int8,exp,direct,8,8,4096,12,2,128,measure,11,1473,0
scna-int8,exp,direct,8,8,4096,12,2,128,measure,12,1462,0
scna-int8,exp,direct,8,8,4096,12,2,128,measure,13,1472,0
scna-int8,exp,direct,8,8,4096,12,2,128,measure,14,1469,0
scna-int8,exp,direct,8,8,4096,12,2,128,measure,15,1464,0
scna-int8,exp,direct,8,8,4096,12,2,128,measure,16,1482,0
scna-int8,exp,direct,8,8,4096,12,2,128,measure,17,1412,0
scna-int8,exp,direct,8,8,4096,12,2,128,measure,18,1476,0
scna-int8,exp,direct,8,8,4096,12,2,128,measure,19,1502,0
