mode,scna_function,scna_kernel,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-int8,exp,tree,32,32,4096,12,2,128,warmup,0,3349,0
scna-int8,exp,tree,32,32,4096,12,2,128,warmup,1,3141,0
scna-int8,exp,tree,32,32,4096,12,2,128,warmup,2,3251,0
scna-int8,exp,tree,32,32,4096,12,2,128,warmup,3,3187,0
scna-int8,exp,tree,32,32,4096,12,2,128,warmup,4,3211,0
scna-int8,exp,tree,32,32,4096,12,2,128,measure,0,3238,0
scna-int8,exp,tree,32,32,4096,12,2,128,measure,1,3206,0
scna-int8,exp,tree,32,32,4096,12,2,128,measure,2,3247,0
scna-int8,exp,tree,32,32,4096,12,2,128,measure,3,3269,0
scna-int8,exp,tree,32,32,4096,12,2,128,measure,4,3285,0
scna-int8,exp,tree,32,32,4096,12,2,128,measure,5,3276,0
scna-int8,exp,tree,32,32,4096,12,2,128,measure,6,3247,0
scna-int8,exp,tree,32,32,4096,12,2,128,measure,7,3238,0
scna-int8,exp,tree,32,32,4096,12,2,128,measure,8,3305,0
scna-int8,exp,tree,32,32,4096,12,2,128,measure,9,3316,0
scna-int8,exp,tree,32,32,4096,12,2,128,measure,10,3313,0
scna-int8,exp,tree,32,32,4096,12,2,128,measure,11,3313,0
scna-int8,exp,tree,32,32,4096,12,2,128,measure,12,3286,0
scna-int8,exp,tree,32,32,4096,12,2,128,measure,13,3330,0
scna-int8,exp,tree,32,32,4096,12,2,128,measure,14,3317,0
scna-int8,exp,tree,32,32,4096,12,2,128,measure,15,3324,0
scna-int8,exp,tree,32,32,4096,12,2,128,measure,16,3285,0
scna-int8,exp,tree,32,32,4096,12,2,128,measure,17,3286,0
scna-int8,exp,tree,32,32,4096,12,2,128,measure,18,3254,0
scna-int8,exp,tree,32,32,4096,12,2,128,measure,19,3238,0
