mode,scna_function,scna_kernel,scna_pipeline,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
baseline,exp2,direct,off,0,8,4096,12,2,128,warmup,0,1172,0
baseline,exp2,direct,off,0,8,4096,12,2,128,warmup,1,1285,0
baseline,exp2,direct,off,0,8,4096,12,2,128,warmup,2,1249,0
baseline,exp2,direct,off,0,8,4096,12,2,128,warmup,3,1161,0
baseline,exp2,direct,off,0,8,4096,12,2,128,warmup,4,1252,0
baseline,exp2,direct,off,0,8,4096,12,2,128,measure,0,1261,0
baseline,exp2,direct,off,0,8,4096,12,2,128,measure,1,1221,0
baseline,exp2,direct,off,0,8,4096,12,2,128,measure,2,1252,0
baseline,exp2,direct,off,0,8,4096,12,2,128,measure,3,1260,0
baseline,exp2,direct,off,0,8,4096,12,2,128,measure,4,1242,0
baseline,exp2,direct,off,0,8,4096,12,2,128,measure,5,1235,0
baseline,exp2,direct,off,0,8,4096,12,2,128,measure,6,1344,0
baseline,exp2,direct,off,0,8,4096,12,2,128,measure,7,1432,0
baseline,exp2,direct,off,0,8,4096,12,2,128,measure,8,1341,0
baseline,exp2,direct,off,0,8,4096,12,2,128,measure,9,1385,0
baseline,exp2,direct,off,0,8,4096,12,2,128,measure,10,1309,0
baseline,exp2,direct,off,0,8,4096,12,2,128,measure,11,1316,0
baseline,exp2,direct,off,0,8,4096,12,2,128,measure,12,1315,0
baseline,exp2,direct,off,0,8,4096,12,2,128,measure,13,1330,0
baseline,exp2,direct,off,0,8,4096,12,2,128,measure,14,1304,0
baseline,exp2,direct,off,0,8,4096,12,2,128,measure,15,1327,0
baseline,exp2,direct,off,0,8,4096,12,2,128,measure,16,1348,0
baseline,exp2,direct,off,0,8,4096,12,2,128,measure,17,1313,0
baseline,exp2,direct,off,0,8,4096,12,2,128,measure,18,1441,0
baseline,exp2,direct,off,0,8,4096,12,2,128,measure,19,1488,0
