mode,scna_function,scna_kernel,scna_pipeline,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-fp16,exp2,direct,off,32,32,4096,12,2,128,warmup,0,4191,0
scna-fp16,exp2,direct,off,32,32,4096,12,2,128,warmup,1,4280,0
scna-fp16,exp2,direct,off,32,32,4096,12,2,128,warmup,2,4311,0
scna-fp16,exp2,direct,off,32,32,4096,12,2,128,warmup,3,4294,0
scna-fp16,exp2,direct,off,32,32,4096,12,2,128,warmup,4,4282,0
scna-fp16,exp2,direct,off,32,32,4096,12,2,128,measure,0,4300,0
scna-fp16,exp2,direct,off,32,32,4096,12,2,128,measure,1,4320,0
scna-fp16,exp2,direct,off,32,32,4096,12,2,128,measure,2,4448,0
scna-fp16,exp2,direct,off,32,32,4096,12,2,128,measure,3,4323,0
scna-fp16,exp2,direct,off,32,32,4096,12,2,128,measure,4,4406,0
scna-fp16,exp2,direct,off,32,32,4096,12,2,128,measure,5,4352,0
scna-fp16,exp2,direct,off,32,32,4096,12,2,128,measure,6,4420,0
scna-fp16,exp2,direct,off,32,32,4096,12,2,128,measure,7,4337,0
scna-fp16,exp2,direct,off,32,32,4096,12,2,128,measure,8,4375,0
scna-fp16,exp2,direct,off,32,32,4096,12,2,128,measure,9,4344,0
scna-fp16,exp2,direct,off,32,32,4096,12,2,128,measure,10,4381,0
scna-fp16,exp2,direct,off,32,32,4096,12,2,128,measure,11,4380,0
scna-fp16,exp2,direct,off,32,32,4096,12,2,128,measure,12,4334,0
scna-fp16,exp2,direct,off,32,32,4096,12,2,128,measure,13,4267,0
scna-fp16,exp2,direct,off,32,32,4096,12,2,128,measure,14,4279,0
scna-fp16,exp2,direct,off,32,32,4096,12,2,128,measure,15,4356,0
scna-fp16,exp2,direct,off,32,32,4096,12,2,128,measure,16,4376,0
scna-fp16,exp2,direct,off,32,32,4096,12,2,128,measure,17,4317,0
scna-fp16,exp2,direct,off,32,32,4096,12,2,128,measure,18,4296,0
scna-fp16,exp2,direct,off,32,32,4096,12,2,128,measure,19,4360,0
