mode,scna_function,scna_kernel,scna_pipeline,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-fp16,exp2,direct,on,8,32,4096,12,2,128,warmup,0,2331,0
scna-fp16,exp2,direct,on,8,32,4096,12,2,128,warmup,1,2219,0
scna-fp16,exp2,direct,on,8,32,4096,12,2,128,warmup,2,2194,0
scna-fp16,exp2,direct,on,8,32,4096,12,2,128,warmup,3,2203,0
scna-fp16,exp2,direct,on,8,32,4096,12,2,128,warmup,4,2136,0
scna-fp16,exp2,direct,on,8,32,4096,12,2,128,measure,0,2236,0
scna-fp16,exp2,direct,on,8,32,4096,12,2,128,measure,1,2274,0
scna-fp16,exp2,direct,on,8,32,4096,12,2,128,measure,2,2258,0
scna-fp16,exp2,direct,on,8,32,4096,12,2,128,measure,3,2263,0
scna-fp16,exp2,direct,on,8,32,4096,12,2,128,measure,4,2264,0
scna-fp16,exp2,direct,on,8,32,4096,12,2,128,measure,5,2252,0
scna-fp16,exp2,direct,on,8,32,4096,12,2,128,measure,6,2283,0
scna-fp16,exp2,direct,on,8,32,4096,12,2,128,measure,7,2462,0
scna-fp16,exp2,direct,on,8,32,4096,12,2,128,measure,8,2517,0
scna-fp16,exp2,direct,on,8,32,4096,12,2,128,measure,9,2448,0
scna-fp16,exp2,direct,on,8,32,4096,12,2,128,measure,10,2377,0
scna-fp16,exp2,direct,on,8,32,4096,12,2,128,measure,11,2377,0
scna-fp16,exp2,direct,on,8,32,4096,12,2,128,measure,12,2412,0
scna-fp16,exp2,direct,on,8,32,4096,12,2,128,measure,13,2378,0
scna-fp16,exp2,direct,on,8,32,4096,12,2,128,measure,14,2387,0
scna-fp16,exp2,direct,on,8,32,4096,12,2,128,measure,15,2325,0
scna-fp16,exp2,direct,on,8,32,4096,12,2,128,measure,16,2283,0
scna-fp16,exp2,direct,on,8,32,4096,12,2,128,measure,17,2291,0
scna-fp16,exp2,direct,on,8,32,4096,12,2,128,measure,18,2315,0
scna-fp16,exp2,direct,on,8,32,4096,12,2,128,measure,19,2280,0
