mode,scna_function,scna_kernel,scna_pipeline,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-fp16,exp2,tree,on,16,4,4096,12,2,128,warmup,0,835,0
scna-fp16,exp2,tree,on,16,4,4096,12,2,128,warmup,1,702,0
scna-fp16,exp2,tree,on,16,4,4096,12,2,128,warmup,2,700,0
scna-fp16,exp2,tree,on,16,4,4096,12,2,128,warmup,3,699,0
scna-fp16,exp2,tree,on,16,4,4096,12,2,128,warmup,4,701,0
scna-fp16,exp2,tree,on,16,4,4096,12,2,128,measure,0,700,0
scna-fp16,exp2,tree,on,16,4,4096,12,2,128,measure,1,699,0
scna-fp16,exp2,tree,on,16,4,4096,12,2,128,measure,2,698,0
scna-fp16,exp2,tree,on,16,4,4096,12,2,128,measure,3,700,0
scna-fp16,exp2,tree,on,16,4,4096,12,2,128,measure,4,700,0
scna-fp16,exp2,tree,on,16,4,4096,12,2,128,measure,5,700,0
scna-fp16,exp2,tree,on,16,4,4096,12,2,128,measure,6,700,0
scna-fp16,exp2,tree,on,16,4,4096,12,2,128,measure,7,726,0
scna-fp16,exp2,tree,on,16,4,4096,12,2,128,measure,8,699,0
scna-fp16,exp2,tree,on,16,4,4096,12,2,128,measure,9,699,0
scna-fp16,exp2,tree,on,16,4,4096,12,2,128,measure,10,700,0
scna-fp16,exp2,tree,on,16,4,4096,12,2,128,measure,11,698,0
scna-fp16,exp2,tree,on,16,4,4096,12,2,128,measure,12,700,0
scna-fp16,exp2,tree,on,16,4,4096,12,2,128,measure,13,700,0
scna-fp16,exp2,tree,on,16,4,4096,12,2,128,measure,14,648,0
scna-fp16,exp2,tree,on,16,4,4096,12,2,128,measure,15,706,0
scna-fp16,exp2,tree,on,16,4,4096,12,2,128,measure,16,717,0
scna-fp16,exp2,tree,on,16,4,4096,12,2,128,measure,17,793,0
scna-fp16,exp2,tree,on,16,4,4096,12,2,128,measure,18,817,0
scna-fp16,exp2,tree,on,16,4,4096,12,2,128,measure,19,795,0
