mode,scna_function,scna_kernel,scna_pipeline,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-fp16,exp2,tree,off,8,32,4096,12,2,128,warmup,0,2408,0
scna-fp16,exp2,tree,off,8,32,4096,12,2,128,warmup,1,2492,0
scna-fp16,exp2,tree,off,8,32,4096,12,2,128,warmup,2,2438,0
scna-fp16,exp2,tree,off,8,32,4096,12,2,128,warmup,3,2565,0
scna-fp16,exp2,tree,off,8,32,4096,12,2,128,warmup,4,2557,0
scna-fp16,exp2,tree,off,8,32,4096,12,2,128,measure,0,2532,0
scna-fp16,exp2,tree,off,8,32,4096,12,2,128,measure,1,2555,0
scna-fp16,exp2,tree,off,8,32,4096,12,2,128,measure,2,2547,0
scna-fp16,exp2,tree,off,8,32,4096,12,2,128,measure,3,2663,0
scna-fp16,exp2,tree,off,8,32,4096,12,2,128,measure,4,2646,0
scna-fp16,exp2,tree,off,8,32,4096,12,2,128,measure,5,2655,0
scna-fp16,exp2,tree,off,8,32,4096,12,2,128,measure,6,2592,0
scna-fp16,exp2,tree,off,8,32,4096,12,2,128,measure,7,2621,0
scna-fp16,exp2,tree,off,8,32,4096,12,2,128,measure,8,2558,0
scna-fp16,exp2,tree,off,8,32,4096,12,2,128,measure,9,2655,0
scna-fp16,exp2,tree,off,8,32,4096,12,2,128,measure,10,2640,0
scna-fp16,exp2,tree,off,8,32,4096,12,2,128,measure,11,2590,0
scna-fp16,exp2,tree,off,8,32,4096,12,2,128,measure,12,2651,0
scna-fp16,exp2,tree,off,8,32,4096,12,2,128,measure,13,2669,0
scna-fp16,exp2,tree,off,8,32,4096,12,2,128,measure,14,2644,0
scna-fp16,exp2,tree,off,8,32,4096,12,2,128,measure,15,2640,0
scna-fp16,exp2,tree,off,8,32,4096,12,2,128,measure,16,2666,0
scna-fp16,exp2,tree,off,8,32,4096,12,2,128,measure,17,2583,0
scna-fp16,exp2,tree,off,8,32,4096,12,2,128,measure,18,2569,0
scna-fp16,exp2,tree,off,8,32,4096,12,2,128,measure,19,2628,0
