mode,scna_function,scna_kernel,scna_pipeline,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-int8,exp2,direct,off,16,16,4096,12,2,128,warmup,0,1971,0
scna-int8,exp2,direct,off,16,16,4096,12,2,128,warmup,1,1888,0
scna-int8,exp2,direct,off,16,16,4096,12,2,128,warmup,2,1871,0
scna-int8,exp2,direct,off,16,16,4096,12,2,128,warmup,3,1861,0
scna-int8,exp2,direct,off,16,16,4096,12,2,128,warmup,4,1852,0
scna-int8,exp2,direct,off,16,16,4096,12,2,128,measure,0,1856,0
scna-int8,exp2,direct,off,16,16,4096,12,2,128,measure,1,1878,0
scna-int8,exp2,direct,off,16,16,4096,12,2,128,measure,2,1987,0
scna-int8,exp2,direct,off,16,16,4096,12,2,128,measure,3,2026,0
scna-int8,exp2,direct,off,16,16,4096,12,2,128,measure,4,2019,0
scna-int8,exp2,direct,off,16,16,4096,12,2,128,measure,5,2006,0
scna-int8,exp2,direct,off,16,16,4096,12,2,128,measure,6,2052,0
scna-int8,exp2,direct,off,16,16,4096,12,2,128,measure,7,1999,0
scna-int8,exp2,direct,off,16,16,4096,12,2,128,measure,8,2029,0
scna-int8,exp2,direct,off,16,16,4096,12,2,128,measure,9,2076,0
scna-int8,exp2,direct,off,16,16,4096,12,2,128,measure,10,2030,0
scna-int8,exp2,direct,off,16,16,4096,12,2,128,measure,11,2021,0
scna-int8,exp2,direct,off,16,16,4096,12,2,128,measure,12,2018,0
scna-int8,exp2,direct,off,16,16,4096,12,2,128,measure,13,2015,0
scna-int8,exp2,direct,off,16,16,4096,12,2,128,measure,14,2021,0
scna-int8,exp2,direct,off,16,16,4096,12,2,128,measure,15,1990,0
scna-int8,exp2,direct,off,16,16,4096,12,2,128,measure,16,2031,0
scna-int8,exp2,direct,off,16,16,4096,12,2,128,measure,17,2029,0
scna-int8,exp2,direct,off,16,16,4096,12,2,128,measure,18,1991,0
scna-int8,exp2,direct,off,16,16,4096,12,2,128,measure,19,2021,0
