mode,scna_function,scna_kernel,scna_pipeline,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-int8,exp2,direct,on,8,32,4096,12,2,128,warmup,0,2321,0
scna-int8,exp2,direct,on,8,32,4096,12,2,128,warmup,1,2208,0
scna-int8,exp2,direct,on,8,32,4096,12,2,128,warmup,2,2192,0
scna-int8,exp2,direct,on,8,32,4096,12,2,128,warmup,3,2192,0
scna-int8,exp2,direct,on,8,32,4096,12,2,128,warmup,4,2193,0
scna-int8,exp2,direct,on,8,32,4096,12,2,128,measure,0,2204,0
scna-int8,exp2,direct,on,8,32,4096,12,2,128,measure,1,2136,0
scna-int8,exp2,direct,on,8,32,4096,12,2,128,measure,2,2310,0
scna-int8,exp2,direct,on,8,32,4096,12,2,128,measure,3,2278,0
scna-int8,exp2,direct,on,8,32,4096,12,2,128,measure,4,2381,0
scna-int8,exp2,direct,on,8,32,4096,12,2,128,measure,5,2293,0
scna-int8,exp2,direct,on,8,32,4096,12,2,128,measure,6,2402,0
scna-int8,exp2,direct,on,8,32,4096,12,2,128,measure,7,2299,0
scna-int8,exp2,direct,on,8,32,4096,12,2,128,measure,8,2309,0
scna-int8,exp2,direct,on,8,32,4096,12,2,128,measure,9,2389,0
scna-int8,exp2,direct,on,8,32,4096,12,2,128,measure,10,2375,0
scna-int8,exp2,direct,on,8,32,4096,12,2,128,measure,11,2375,0
scna-int8,exp2,direct,on,8,32,4096,12,2,128,measure,12,2372,0
scna-int8,exp2,direct,on,8,32,4096,12,2,128,measure,13,2376,0
scna-int8,exp2,direct,on,8,32,4096,12,2,128,measure,14,2319,0
scna-int8,exp2,direct,on,8,32,4096,12,2,128,measure,15,2374,0
scna-int8,exp2,direct,on,8,32,4096,12,2,128,measure,16,2366,0
scna-int8,exp2,direct,on,8,32,4096,12,2,128,measure,17,2368,0
scna-int8,exp2,direct,on,8,32,4096,12,2,128,measure,18,2323,0
scna-int8,exp2,direct,on,8,32,4096,12,2,128,measure,19,2271,0
