mode,scna_function,scna_kernel,scna_pipeline,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-int8,exp2,tree,off,32,32,4096,12,2,128,warmup,0,3176,0
scna-int8,exp2,tree,off,32,32,4096,12,2,128,warmup,1,3128,0
scna-int8,exp2,tree,off,32,32,4096,12,2,128,warmup,2,3127,0
scna-int8,exp2,tree,off,32,32,4096,12,2,128,warmup,3,3115,0
scna-int8,exp2,tree,off,32,32,4096,12,2,128,warmup,4,3120,0
scna-int8,exp2,tree,off,32,32,4096,12,2,128,measure,0,3295,0
scna-int8,exp2,tree,off,32,32,4096,12,2,128,measure,1,3292,0
scna-int8,exp2,tree,off,32,32,4096,12,2,128,measure,2,3306,0
scna-int8,exp2,tree,off,32,32,4096,12,2,128,measure,3,3271,0
scna-int8,exp2,tree,off,32,32,4096,12,2,128,measure,4,3341,0
scna-int8,exp2,tree,off,32,32,4096,12,2,128,measure,5,3290,0
scna-int8,exp2,tree,off,32,32,4096,12,2,128,measure,6,3344,0
scna-int8,exp2,tree,off,32,32,4096,12,2,128,measure,7,3289,0
scna-int8,exp2,tree,off,32,32,4096,12,2,128,measure,8,3291,0
scna-int8,exp2,tree,off,32,32,4096,12,2,128,measure,9,3250,0
scna-int8,exp2,tree,off,32,32,4096,12,2,128,measure,10,3306,0
scna-int8,exp2,tree,off,32,32,4096,12,2,128,measure,11,3247,0
scna-int8,exp2,tree,off,32,32,4096,12,2,128,measure,12,3323,0
scna-int8,exp2,tree,off,32,32,4096,12,2,128,measure,13,3234,0
scna-int8,exp2,tree,off,32,32,4096,12,2,128,measure,14,3307,0
scna-int8,exp2,tree,off,32,32,4096,12,2,128,measure,15,3290,0
scna-int8,exp2,tree,off,32,32,4096,12,2,128,measure,16,3310,0
scna-int8,exp2,tree,off,32,32,4096,12,2,128,measure,17,3276,0
scna-int8,exp2,tree,off,32,32,4096,12,2,128,measure,18,3347,0
scna-int8,exp2,tree,off,32,32,4096,12,2,128,measure,19,3229,0
