mode,scna_function,scna_kernel,scna_pipeline,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-int8,exp2,tree,on,8,32,4096,12,2,128,warmup,0,2412,0
scna-int8,exp2,tree,on,8,32,4096,12,2,128,warmup,1,2304,0
scna-int8,exp2,tree,on,8,32,4096,12,2,128,warmup,2,2305,0
scna-int8,exp2,tree,on,8,32,4096,12,2,128,warmup,3,2297,0
scna-int8,exp2,tree,on,8,32,4096,12,2,128,warmup,4,2301,0
scna-int8,exp2,tree,on,8,32,4096,12,2,128,measure,0,2318,0
scna-int8,exp2,tree,on,8,32,4096,12,2,128,measure,1,2373,0
scna-int8,exp2,tree,on,8,32,4096,12,2,128,measure,2,2367,0
scna-int8,exp2,tree,on,8,32,4096,12,2,128,measure,3,2345,0
scna-int8,exp2,tree,on,8,32,4096,12,2,128,measure,4,2371,0
scna-int8,exp2,tree,on,8,32,4096,12,2,128,measure,5,2354,0
scna-int8,exp2,tree,on,8,32,4096,12,2,128,measure,6,2341,0
scna-int8,exp2,tree,on,8,32,4096,12,2,128,measure,7,2395,0
scna-int8,exp2,tree,on,8,32,4096,12,2,128,measure,8,2384,0
scna-int8,exp2,tree,on,8,32,4096,12,2,128,measure,9,2400,0
scna-int8,exp2,tree,on,8,32,4096,12,2,128,measure,10,2387,0
scna-int8,exp2,tree,on,8,32,4096,12,2,128,measure,11,2394,0
scna-int8,exp2,tree,on,8,32,4096,12,2,128,measure,12,2376,0
scna-int8,exp2,tree,on,8,32,4096,12,2,128,measure,13,2376,0
scna-int8,exp2,tree,on,8,32,4096,12,2,128,measure,14,2439,0
scna-int8,exp2,tree,on,8,32,4096,12,2,128,measure,15,2388,0
scna-int8,exp2,tree,on,8,32,4096,12,2,128,measure,16,2376,0
scna-int8,exp2,tree,on,8,32,4096,12,2,128,measure,17,2435,0
scna-int8,exp2,tree,on,8,32,4096,12,2,128,measure,18,2389,0
scna-int8,exp2,tree,on,8,32,4096,12,2,128,measure,19,2455,0
