mode,scna_function,scna_kernel,scna_pipeline,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-fp16,exp,direct,off,32,32,4096,12,2,128,warmup,0,4194,0
scna-fp16,exp,direct,off,32,32,4096,12,2,128,warmup,1,4171,0
scna-fp16,exp,direct,off,32,32,4096,12,2,128,warmup,2,4169,0
scna-fp16,exp,direct,off,32,32,4096,12,2,128,warmup,3,4305,0
scna-fp16,exp,direct,off,32,32,4096,12,2,128,warmup,4,4324,0
scna-fp16,exp,direct,off,32,32,4096,12,2,128,measure,0,4354,0
scna-fp16,exp,direct,off,32,32,4096,12,2,128,measure,1,4322,0
scna-fp16,exp,direct,off,32,32,4096,12,2,128,measure,2,4359,0
scna-fp16,exp,direct,off,32,32,4096,12,2,128,measure,3,4325,0
scna-fp16,exp,direct,off,32,32,4096,12,2,128,measure,4,4321,0
scna-fp16,exp,direct,off,32,32,4096,12,2,128,measure,5,4268,0
scna-fp16,exp,direct,off,32,32,4096,12,2,128,measure,6,4371,0
scna-fp16,exp,direct,off,32,32,4096,12,2,128,measure,7,4353,0
scna-fp16,exp,direct,off,32,32,4096,12,2,128,measure,8,4310,0
scna-fp16,exp,direct,off,32,32,4096,12,2,128,measure,9,4358,0
scna-fp16,exp,direct,off,32,32,4096,12,2,128,measure,10,4254,0
scna-fp16,exp,direct,off,32,32,4096,12,2,128,measure,11,4364,0
scna-fp16,exp,direct,off,32,32,4096,12,2,128,measure,12,4283,0
scna-fp16,exp,direct,off,32,32,4096,12,2,128,measure,13,4352,0
scna-fp16,exp,direct,off,32,32,4096,12,2,128,measure,14,4330,0
scna-fp16,exp,direct,off,32,32,4096,12,2,128,measure,15,4251,0
scna-fp16,exp,direct,off,32,32,4096,12,2,128,measure,16,4343,0
scna-fp16,exp,direct,off,32,32,4096,12,2,128,measure,17,4247,0
scna-fp16,exp,direct,off,32,32,4096,12,2,128,measure,18,4277,0
scna-fp16,exp,direct,off,32,32,4096,12,2,128,measure,19,4319,0
