mode,scna_function,scna_kernel,scna_pipeline,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-fp16,exp,direct,on,8,32,4096,12,2,128,warmup,0,2211,0
scna-fp16,exp,direct,on,8,32,4096,12,2,128,warmup,1,2164,0
scna-fp16,exp,direct,on,8,32,4096,12,2,128,warmup,2,2191,0
scna-fp16,exp,direct,on,8,32,4096,12,2,128,warmup,3,2092,0
scna-fp16,exp,direct,on,8,32,4096,12,2,128,warmup,4,2187,0
scna-fp16,exp,direct,on,8,32,4096,12,2,128,measure,0,2181,0
scna-fp16,exp,direct,on,8,32,4096,12,2,128,measure,1,2209,0
scna-fp16,exp,direct,on,8,32,4096,12,2,128,measure,2,2205,0
scna-fp16,exp,direct,on,8,32,4096,12,2,128,measure,3,2202,0
scna-fp16,exp,direct,on,8,32,4096,12,2,128,measure,4,2198,0
scna-fp16,exp,direct,on,8,32,4096,12,2,128,measure,5,2212,0
scna-fp16,exp,direct,on,8,32,4096,12,2,128,measure,6,2260,0
scna-fp16,exp,direct,on,8,32,4096,12,2,128,measure,7,2254,0
scna-fp16,exp,direct,on,8,32,4096,12,2,128,measure,8,2257,0
scna-fp16,exp,direct,on,8,32,4096,12,2,128,measure,9,2244,0
scna-fp16,exp,direct,on,8,32,4096,12,2,128,measure,10,2260,0
scna-fp16,exp,direct,on,8,32,4096,12,2,128,measure,11,2252,0
scna-fp16,exp,direct,on,8,32,4096,12,2,128,measure,12,2273,0
scna-fp16,exp,direct,on,8,32,4096,12,2,128,measure,13,2317,0
scna-fp16,exp,direct,on,8,32,4096,12,2,128,measure,14,2251,0
scna-fp16,exp,direct,on,8,32,4096,12,2,128,measure,15,2243,0
scna-fp16,exp,direct,on,8,32,4096,12,2,128,measure,16,2260,0
scna-fp16,exp,direct,on,8,32,4096,12,2,128,measure,17,2268,0
scna-fp16,exp,direct,on,8,32,4096,12,2,128,measure,18,2244,0
scna-fp16,exp,direct,on,8,32,4096,12,2,128,measure,19,2232,0
