mode,scna_function,scna_kernel,scna_pipeline,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-fp16,exp,tree,on,32,8,4096,12,2,128,warmup,0,1193,0
scna-fp16,exp,tree,on,32,8,4096,12,2,128,warmup,1,1036,0
scna-fp16,exp,tree,on,32,8,4096,12,2,128,warmup,2,1039,0
scna-fp16,exp,tree,on,32,8,4096,12,2,128,warmup,3,946,0
scna-fp16,exp,tree,on,32,8,4096,12,2,128,warmup,4,1020,0
scna-fp16,exp,tree,on,32,8,4096,12,2,128,measure,0,1005,0
scna-fp16,exp,tree,on,32,8,4096,12,2,128,measure,1,1045,0
scna-fp16,exp,tree,on,32,8,4096,12,2,128,measure,2,1019,0
scna-fp16,exp,tree,on,32,8,4096,12,2,128,measure,3,1032,0
scna-fp16,exp,tree,on,32,8,4096,12,2,128,measure,4,1024,0
scna-fp16,exp,tree,on,32,8,4096,12,2,128,measure,5,1003,0
scna-fp16,exp,tree,on,32,8,4096,12,2,128,measure,6,1002,0
scna-fp16,exp,tree,on,32,8,4096,12,2,128,measure,7,1019,0
scna-fp16,exp,tree,on,32,8,4096,12,2,128,measure,8,1002,0
scna-fp16,exp,tree,on,32,8,4096,12,2,128,measure,9,1007,0
scna-fp16,exp,tree,on,32,8,4096,12,2,128,measure,10,1005,0
scna-fp16,exp,tree,on,32,8,4096,12,2,128,measure,11,1015,0
scna-fp16,exp,tree,on,32,8,4096,12,2,128,measure,12,1001,0
scna-fp16,exp,tree,on,32,8,4096,12,2,128,measure,13,1000,0
scna-fp16,exp,tree,on,32,8,4096,12,2,128,measure,14,1005,0
scna-fp16,exp,tree,on,32,8,4096,12,2,128,measure,15,1005,0
scna-fp16,exp,tree,on,32,8,4096,12,2,128,measure,16,988,0
scna-fp16,exp,tree,on,32,8,4096,12,2,128,measure,17,997,0
scna-fp16,exp,tree,on,32,8,4096,12,2,128,measure,18,959,0
scna-fp16,exp,tree,on,32,8,4096,12,2,128,measure,19,970,0
