mode,scna_function,scna_kernel,scna_pipeline,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-fp16,exp,tree,off,8,32,4096,12,2,128,warmup,0,2388,0
scna-fp16,exp,tree,off,8,32,4096,12,2,128,warmup,1,2296,0
scna-fp16,exp,tree,off,8,32,4096,12,2,128,warmup,2,2446,0
scna-fp16,exp,tree,off,8,32,4096,12,2,128,warmup,3,2459,0
scna-fp16,exp,tree,off,8,32,4096,12,2,128,warmup,4,2442,0
scna-fp16,exp,tree,off,8,32,4096,12,2,128,measure,0,2365,0
scna-fp16,exp,tree,off,8,32,4096,12,2,128,measure,1,2407,0
scna-fp16,exp,tree,off,8,32,4096,12,2,128,measure,2,2417,0
scna-fp16,exp,tree,off,8,32,4096,12,2,128,measure,3,2357,0
scna-fp16,exp,tree,off,8,32,4096,12,2,128,measure,4,2435,0
scna-fp16,exp,tree,off,8,32,4096,12,2,128,measure,5,2358,0
scna-fp16,exp,tree,off,8,32,4096,12,2,128,measure,6,2440,0
scna-fp16,exp,tree,off,8,32,4096,12,2,128,measure,7,2551,0
scna-fp16,exp,tree,off,8,32,4096,12,2,128,measure,8,2502,0
scna-fp16,exp,tree,off,8,32,4096,12,2,128,measure,9,2469,0
scna-fp16,exp,tree,off,8,32,4096,12,2,128,measure,10,2428,0
scna-fp16,exp,tree,off,8,32,4096,12,2,128,measure,11,2502,0
scna-fp16,exp,tree,off,8,32,4096,12,2,128,measure,12,2325,0
scna-fp16,exp,tree,off,8,32,4096,12,2,128,measure,13,2422,0
scna-fp16,exp,tree,off,8,32,4096,12,2,128,measure,14,2516,0
scna-fp16,exp,tree,off,8,32,4096,12,2,128,measure,15,2508,0
scna-fp16,exp,tree,off,8,32,4096,12,2,128,measure,16,2515,0
scna-fp16,exp,tree,off,8,32,4096,12,2,128,measure,17,2504,0
scna-fp16,exp,tree,off,8,32,4096,12,2,128,measure,18,2502,0
scna-fp16,exp,tree,off,8,32,4096,12,2,128,measure,19,2405,0
