mode,scna_function,scna_kernel,scna_pipeline,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-int8,exp,direct,off,32,4,4096,12,2,128,warmup,0,1329,0
scna-int8,exp,direct,off,32,4,4096,12,2,128,warmup,1,1112,0
scna-int8,exp,direct,off,32,4,4096,12,2,128,warmup,2,1205,0
scna-int8,exp,direct,off,32,4,4096,12,2,128,warmup,3,1105,0
scna-int8,exp,direct,off,32,4,4096,12,2,128,warmup,4,1102,0
scna-int8,exp,direct,off,32,4,4096,12,2,128,measure,0,1109,0
scna-int8,exp,direct,off,32,4,4096,12,2,128,measure,1,1204,0
scna-int8,exp,direct,off,32,4,4096,12,2,128,measure,2,1126,0
scna-int8,exp,direct,off,32,4,4096,12,2,128,measure,3,1127,0
scna-int8,exp,direct,off,32,4,4096,12,2,128,measure,4,1138,0
scna-int8,exp,direct,off,32,4,4096,12,2,128,measure,5,1208,0
scna-int8,exp,direct,off,32,4,4096,12,2,128,measure,6,1208,0
scna-int8,exp,direct,off,32,4,4096,12,2,128,measure,7,1205,0
scna-int8,exp,direct,off,32,4,4096,12,2,128,measure,8,1101,0
scna-int8,exp,direct,off,32,4,4096,12,2,128,measure,9,1205,0
scna-int8,exp,direct,off,32,4,4096,12,2,128,measure,10,1207,0
scna-int8,exp,direct,off,32,4,4096,12,2,128,measure,11,1206,0
scna-int8,exp,direct,off,32,4,4096,12,2,128,measure,12,1208,0
scna-int8,exp,direct,off,32,4,4096,12,2,128,measure,13,1204,0
scna-int8,exp,direct,off,32,4,4096,12,2,128,measure,14,1202,0
scna-int8,exp,direct,off,32,4,4096,12,2,128,measure,15,1200,0
scna-int8,exp,direct,off,32,4,4096,12,2,128,measure,16,1099,0
scna-int8,exp,direct,off,32,4,4096,12,2,128,measure,17,1204,0
scna-int8,exp,direct,off,32,4,4096,12,2,128,measure,18,1179,0
scna-int8,exp,direct,off,32,4,4096,12,2,128,measure,19,1095,0
