mode,scna_function,scna_kernel,scna_pipeline,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-int8,exp,direct,on,32,32,4096,12,2,128,warmup,0,3319,0
scna-int8,exp,direct,on,32,32,4096,12,2,128,warmup,1,3257,0
scna-int8,exp,direct,on,32,32,4096,12,2,128,warmup,2,3140,0
scna-int8,exp,direct,on,32,32,4096,12,2,128,warmup,3,3140,0
scna-int8,exp,direct,on,32,32,4096,12,2,128,warmup,4,3202,0
scna-int8,exp,direct,on,32,32,4096,12,2,128,measure,0,3234,0
scna-int8,exp,direct,on,32,32,4096,12,2,128,measure,1,3239,0
scna-int8,exp,direct,on,32,32,4096,12,2,128,measure,2,3199,0
scna-int8,exp,direct,on,32,32,4096,12,2,128,measure,3,3255,0
scna-int8,exp,direct,on,32,32,4096,12,2,128,measure,4,3232,0
scna-int8,exp,direct,on,32,32,4096,12,2,128,measure,5,3191,0
scna-int8,exp,direct,on,32,32,4096,12,2,128,measure,6,3250,0
scna-int8,exp,direct,on,32,32,4096,12,2,128,measure,7,3179,0
scna-int8,exp,direct,on,32,32,4096,12,2,128,measure,8,3153,0
scna-int8,exp,direct,on,32,32,4096,12,2,128,measure,9,3211,0
scna-int8,exp,direct,on,32,32,4096,12,2,128,measure,10,3154,0
scna-int8,exp,direct,on,32,32,4096,12,2,128,measure,11,3174,0
scna-int8,exp,direct,on,32,32,4096,12,2,128,measure,12,3212,0
scna-int8,exp,direct,on,32,32,4096,12,2,128,measure,13,3290,0
scna-int8,exp,direct,on,32,32,4096,12,2,128,measure,14,3228,0
scna-int8,exp,direct,on,32,32,4096,12,2,128,measure,15,3165,0
scna-int8,exp,direct,on,32,32,4096,12,2,128,measure,16,3182,0
scna-int8,exp,direct,on,32,32,4096,12,2,128,measure,17,3180,0
scna-int8,exp,direct,on,32,32,4096,12,2,128,measure,18,3150,0
scna-int8,exp,direct,on,32,32,4096,12,2,128,measure,19,3180,0
