mode,scna_function,scna_kernel,scna_pipeline,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-int8,exp,tree,off,32,32,4096,12,2,128,warmup,0,3067,0
scna-int8,exp,tree,off,32,32,4096,12,2,128,warmup,1,3084,0
scna-int8,exp,tree,off,32,32,4096,12,2,128,warmup,2,3070,0
scna-int8,exp,tree,off,32,32,4096,12,2,128,warmup,3,3065,0
scna-int8,exp,tree,off,32,32,4096,12,2,128,warmup,4,3059,0
scna-int8,exp,tree,off,32,32,4096,12,2,128,measure,0,3122,0
scna-int8,exp,tree,off,32,32,4096,12,2,128,measure,1,3104,0
scna-int8,exp,tree,off,32,32,4096,12,2,128,measure,2,3128,0
scna-int8,exp,tree,off,32,32,4096,12,2,128,measure,3,3176,0
scna-int8,exp,tree,off,32,32,4096,12,2,128,measure,4,3138,0
scna-int8,exp,tree,off,32,32,4096,12,2,128,measure,5,3134,0
scna-int8,exp,tree,off,32,32,4096,12,2,128,measure,6,3138,0
scna-int8,exp,tree,off,32,32,4096,12,2,128,measure,7,3169,0
scna-int8,exp,tree,off,32,32,4096,12,2,128,measure,8,3159,0
scna-int8,exp,tree,off,32,32,4096,12,2,128,measure,9,3111,0
scna-int8,exp,tree,off,32,32,4096,12,2,128,measure,10,3101,0
scna-int8,exp,tree,off,32,32,4096,12,2,128,measure,11,3130,0
scna-int8,exp,tree,off,32,32,4096,12,2,128,measure,12,3097,0
scna-int8,exp,tree,off,32,32,4096,12,2,128,measure,13,3113,0
scna-int8,exp,tree,off,32,32,4096,12,2,128,measure,14,3123,0
scna-int8,exp,tree,off,32,32,4096,12,2,128,measure,15,3099,0
scna-int8,exp,tree,off,32,32,4096,12,2,128,measure,16,3120,0
scna-int8,exp,tree,off,32,32,4096,12,2,128,measure,17,3083,0
scna-int8,exp,tree,off,32,32,4096,12,2,128,measure,18,3089,0
scna-int8,exp,tree,off,32,32,4096,12,2,128,measure,19,3083,0
