mode,scna_function,scna_kernel,scna_pipeline,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-int8,exp,tree,on,32,8,4096,12,2,128,warmup,0,1100,0
scna-int8,exp,tree,on,32,8,4096,12,2,128,warmup,1,1056,0
scna-int8,exp,tree,on,32,8,4096,12,2,128,warmup,2,1058,0
scna-int8,exp,tree,on,32,8,4096,12,2,128,warmup,3,1056,0
scna-int8,exp,tree,on,32,8,4096,12,2,128,warmup,4,1050,0
scna-int8,exp,tree,on,32,8,4096,12,2,128,measure,0,1056,0
scna-int8,exp,tree,on,32,8,4096,12,2,128,measure,1,1065,0
scna-int8,exp,tree,on,32,8,4096,12,2,128,measure,2,1069,0
scna-int8,exp,tree,on,32,8,4096,12,2,128,measure,3,1056,0
scna-int8,exp,tree,on,32,8,4096,12,2,128,measure,4,1048,0
scna-int8,exp,tree,on,32,8,4096,12,2,128,measure,5,1055,0
scna-int8,exp,tree,on,32,8,4096,12,2,128,measure,6,1050,0
scna-int8,exp,tree,on,32,8,4096,12,2,128,measure,7,1020,0
scna-int8,exp,tree,on,32,8,4096,12,2,128,measure,8,988,0
scna-int8,exp,tree,on,32,8,4096,12,2,128,measure,9,989,0
scna-int8,exp,tree,on,32,8,4096,12,2,128,measure,10,1056,0
scna-int8,exp,tree,on,32,8,4096,12,2,128,measure,11,978,0
scna-int8,exp,tree,on,32,8,4096,12,2,128,measure,12,997,0
scna-int8,exp,tree,on,32,8,4096,12,2,128,measure,13,1007,0
scna-int8,exp,tree,on,32,8,4096,12,2,128,measure,14,1079,0
scna-int8,exp,tree,on,32,8,4096,12,2,128,measure,15,1103,0
scna-int8,exp,tree,on,32,8,4096,12,2,128,measure,16,1014,0
scna-int8,exp,tree,on,32,8,4096,12,2,128,measure,17,1006,0
scna-int8,exp,tree,on,32,8,4096,12,2,128,measure,18,1104,0
scna-int8,exp,tree,on,32,8,4096,12,2,128,measure,19,1101,0
