session,iteration,q,host_elapsed_us,ret
1,0,4,573.0,0
1,1,4,574.0,0
1,2,4,573.0,0
1,3,4,573.0,0
1,4,4,574.0,0
1,5,4,572.0,0
1,6,4,573.0,0
1,7,4,572.0,0
1,8,4,572.0,0
1,9,4,572.0,0
1,10,4,573.0,0
1,11,4,572.0,0
1,12,4,575.0,0
1,13,4,573.0,0
1,14,4,573.0,0
1,15,4,574.0,0
1,16,4,573.0,0
1,17,4,572.0,0
1,18,4,572.0,0
1,19,4,573.0,0
2,0,4,510.0,0
2,1,4,562.0,0
2,2,4,558.0,0
2,3,4,558.0,0
2,4,4,562.0,0
2,5,4,558.0,0
2,6,4,559.0,0
2,7,4,559.0,0
2,8,4,558.0,0
2,9,4,558.0,0
2,10,4,596.0,0
2,11,4,558.0,0
2,12,4,559.0,0
2,13,4,631.0,0
2,14,4,567.0,0
2,15,4,561.0,0
2,16,4,560.0,0
2,17,4,561.0,0
2,18,4,560.0,0
2,19,4,562.0,0
3,0,4,652.0,0
3,1,4,527.0,0
3,2,4,528.0,0
3,3,4,529.0,0
3,4,4,573.0,0
3,5,4,657.0,0
3,6,4,528.0,0
3,7,4,532.0,0
3,8,4,529.0,0
3,9,4,659.0,0
3,10,4,527.0,0
3,11,4,527.0,0
3,12,4,528.0,0
3,13,4,530.0,0
3,14,4,528.0,0
3,15,4,527.0,0
3,16,4,528.0,0
3,17,4,527.0,0
3,18,4,528.0,0
3,19,4,528.0,0
4,0,4,582.0,0
4,1,4,584.0,0
4,2,4,582.0,0
4,3,4,582.0,0
4,4,4,582.0,0
4,5,4,570.0,0
4,6,4,584.0,0
4,7,4,583.0,0
4,8,4,582.0,0
4,9,4,581.0,0
4,10,4,582.0,0
4,11,4,597.0,0
4,12,4,582.0,0
4,13,4,626.0,0
4,14,4,582.0,0
4,15,4,542.0,0
4,16,4,605.0,0
4,17,4,550.0,0
4,18,4,632.0,0
4,19,4,526.0,0
5,0,4,548.0,0
5,1,4,549.0,0
5,2,4,550.0,0
5,3,4,549.0,0
5,4,4,549.0,0
5,5,4,550.0,0
5,6,4,549.0,0
5,7,4,547.0,0
5,8,4,548.0,0
5,9,4,580.0,0
5,10,4,550.0,0
5,11,4,548.0,0
5,12,4,549.0,0
5,13,4,559.0,0
5,14,4,549.0,0
5,15,4,555.0,0
5,16,4,550.0,0
5,17,4,522.0,0
5,18,4,587.0,0
5,19,4,589.0,0
1,0,8,657.0,0
1,1,8,658.0,0
1,2,8,658.0,0
1,3,8,657.0,0
1,4,8,657.0,0
1,5,8,656.0,0
1,6,8,658.0,0
1,7,8,657.0,0
1,8,8,697.0,0
1,9,8,728.0,0
1,10,8,654.0,0
1,11,8,663.0,0
1,12,8,671.0,0
1,13,8,654.0,0
1,14,8,647.0,0
1,15,8,657.0,0
1,16,8,658.0,0
1,17,8,685.0,0
1,18,8,788.0,0
1,19,8,659.0,0
2,0,8,657.0,0
2,1,8,659.0,0
2,2,8,660.0,0
2,3,8,659.0,0
2,4,8,659.0,0
2,5,8,660.0,0
2,6,8,659.0,0
2,7,8,659.0,0
2,8,8,659.0,0
2,9,8,660.0,0
2,10,8,659.0,0
2,11,8,656.0,0
2,12,8,655.0,0
2,13,8,655.0,0
2,14,8,658.0,0
2,15,8,649.0,0
2,16,8,749.0,0
2,17,8,665.0,0
2,18,8,658.0,0
2,19,8,657.0,0
3,0,8,658.0,0
3,1,8,658.0,0
3,2,8,658.0,0
3,3,8,657.0,0
3,4,8,657.0,0
3,5,8,658.0,0
3,6,8,657.0,0
3,7,8,657.0,0
3,8,8,657.0,0
3,9,8,658.0,0
3,10,8,658.0,0
3,11,8,658.0,0
3,12,8,658.0,0
3,13,8,657.0,0
3,14,8,657.0,0
3,15,8,726.0,0
3,16,8,657.0,0
3,17,8,790.0,0
3,18,8,784.0,0
3,19,8,657.0,0
4,0,8,657.0,0
4,1,8,656.0,0
4,2,8,656.0,0
4,3,8,658.0,0
4,4,8,657.0,0
4,5,8,657.0,0
4,6,8,656.0,0
4,7,8,658.0,0
4,8,8,656.0,0
4,9,8,655.0,0
4,10,8,656.0,0
4,11,8,657.0,0
4,12,8,657.0,0
4,13,8,658.0,0
4,14,8,657.0,0
4,15,8,657.0,0
4,16,8,657.0,0
4,17,8,657.0,0
4,18,8,681.0,0
4,19,8,715.0,0
5,0,8,659.0,0
5,1,8,657.0,0
5,2,8,658.0,0
5,3,8,657.0,0
5,4,8,658.0,0
5,5,8,658.0,0
5,6,8,658.0,0
5,7,8,657.0,0
5,8,8,658.0,0
5,9,8,657.0,0
5,10,8,658.0,0
5,11,8,657.0,0
5,12,8,657.0,0
