session,iteration,q,host_elapsed_us,ret
1,0,4,549.0,0
1,1,4,550.0,0
1,2,4,548.0,0
1,3,4,549.0,0
1,4,4,549.0,0
1,5,4,549.0,0
1,6,4,548.0,0
1,7,4,550.0,0
1,8,4,549.0,0
1,9,4,548.0,0
1,10,4,549.0,0
1,11,4,548.0,0
1,12,4,548.0,0
1,13,4,549.0,0
1,14,4,549.0,0
1,15,4,549.0,0
1,16,4,549.0,0
1,17,4,549.0,0
1,18,4,550.0,0
1,19,4,548.0,0
2,0,4,546.0,0
2,1,4,549.0,0
2,2,4,549.0,0
2,3,4,548.0,0
2,4,4,549.0,0
2,5,4,548.0,0
2,6,4,549.0,0
2,7,4,549.0,0
2,8,4,547.0,0
2,9,4,548.0,0
2,10,4,548.0,0
2,11,4,548.0,0
2,12,4,547.0,0
2,13,4,551.0,0
2,14,4,443.0,0
2,15,4,449.0,0
2,16,4,548.0,0
2,17,4,553.0,0
2,18,4,548.0,0
2,19,4,486.0,0
3,0,4,548.0,0
3,1,4,548.0,0
3,2,4,549.0,0
3,3,4,549.0,0
3,4,4,548.0,0
3,5,4,549.0,0
3,6,4,549.0,0
3,7,4,549.0,0
3,8,4,548.0,0
3,9,4,548.0,0
3,10,4,548.0,0
3,11,4,548.0,0
3,12,4,549.0,0
3,13,4,549.0,0
3,14,4,549.0,0
3,15,4,549.0,0
3,16,4,547.0,0
3,17,4,548.0,0
3,18,4,549.0,0
3,19,4,548.0,0
4,0,4,547.0,0
4,1,4,549.0,0
4,2,4,549.0,0
4,3,4,549.0,0
4,4,4,548.0,0
4,5,4,550.0,0
4,6,4,548.0,0
4,7,4,550.0,0
4,8,4,546.0,0
4,9,4,546.0,0
4,10,4,546.0,0
4,11,4,546.0,0
4,12,4,546.0,0
4,13,4,546.0,0
4,14,4,545.0,0
4,15,4,549.0,0
4,16,4,548.0,0
4,17,4,548.0,0
4,18,4,549.0,0
4,19,4,496.0,0
5,0,4,547.0,0
5,1,4,559.0,0
5,2,4,550.0,0
5,3,4,549.0,0
5,4,4,550.0,0
5,5,4,550.0,0
5,6,4,550.0,0
5,7,4,550.0,0
5,8,4,454.0,0
5,9,4,477.0,0
5,10,4,457.0,0
5,11,4,514.0,0
5,12,4,549.0,0
5,13,4,550.0,0
5,14,4,548.0,0
5,15,4,549.0,0
5,16,4,547.0,0
5,17,4,549.0,0
5,18,4,548.0,0
5,19,4,547.0,0
1,0,8,549.0,0
1,1,8,549.0,0
1,2,8,549.0,0
1,3,8,549.0,0
1,4,8,548.0,0
1,5,8,549.0,0
1,6,8,549.0,0
1,7,8,548.0,0
1,8,8,548.0,0
1,9,8,548.0,0
1,10,8,547.0,0
1,11,8,548.0,0
1,12,8,549.0,0
1,13,8,548.0,0
1,14,8,548.0,0
1,15,8,573.0,0
1,16,8,549.0,0
1,17,8,549.0,0
1,18,8,549.0,0
1,19,8,618.0,0
2,0,8,661.0,0
2,1,8,665.0,0
2,2,8,659.0,0
2,3,8,657.0,0
2,4,8,655.0,0
2,5,8,657.0,0
2,6,8,662.0,0
2,7,8,658.0,0
2,8,8,657.0,0
2,9,8,657.0,0
2,10,8,656.0,0
2,11,8,656.0,0
2,12,8,657.0,0
2,13,8,655.0,0
2,14,8,657.0,0
2,15,8,619.0,0
2,16,8,579.0,0
2,17,8,579.0,0
2,18,8,575.0,0
2,19,8,577.0,0
3,0,8,658.0,0
3,1,8,661.0,0
3,2,8,583.0,0
3,3,8,658.0,0
3,4,8,660.0,0
3,5,8,661.0,0
3,6,8,657.0,0
3,7,8,660.0,0
3,8,8,657.0,0
3,9,8,658.0,0
3,10,8,655.0,0
3,11,8,659.0,0
3,12,8,658.0,0
3,13,8,658.0,0
3,14,8,656.0,0
3,15,8,657.0,0
3,16,8,657.0,0
3,17,8,656.0,0
3,18,8,659.0,0
3,19,8,656.0,0
4,0,8,548.0,0
4,1,8,549.0,0
4,2,8,549.0,0
4,3,8,548.0,0
4,4,8,548.0,0
4,5,8,549.0,0
4,6,8,548.0,0
4,7,8,561.0,0
4,8,8,548.0,0
4,9,8,549.0,0
4,10,8,549.0,0
4,11,8,548.0,0
4,12,8,547.0,0
4,13,8,549.0,0
4,14,8,549.0,0
4,15,8,548.0,0
4,16,8,548.0,0
4,17,8,548.0,0
4,18,8,575.0,0
4,19,8,657.0,0
5,0,8,549.0,0
5,1,8,547.0,0
5,2,8,549.0,0
5,3,8,549.0,0
5,4,8,549.0,0
5,5,8,549.0,0
5,6,8,548.0,0
5,7,8,548.0,0
5,8,8,548.0,0
5,9,8,548.0,0
5,10,8,548.0,0
5,11,8,549.0,0
5,12,8,548.0,0
5,13,8,549.0,0
5,14,8,548.0,0
5,15,8,550.0,0
5,16,8,549.0,0
5,17,8,548.0,0
5,18,8,549.0,0
5,19,8,548.0,0
1,0,16,661.0,0
1,1,16,661.0,0
1,2,16,660.0,0
1,3,16,660.0,0
1,4,16,658.0,0
1,5,16,658.0,0
1,6,16,660.0,0
1,7,16,659.0,0
1,8,16,656.0,0
1,9,16,657.0,0
1,10,16,655.0,0
1,11,16,657.0,0
1,12,16,657.0,0
1,13,16,648.0,0
1,14,16,659.0,0
1,15,16,659.0,0
1,16,16,698.0,0
1,17,16,730.0,0
1,18,16,778.0,0
1,19,16,653.0,0
2,0,16,657.0,0
2,1,16,657.0,0
2,2,16,657.0,0
2,3,16,658.0,0
2,4,16,657.0,0
2,5,16,657.0,0
2,6,16,657.0,0
2,7,16,670.0,0
2,8,16,655.0,0
2,9,16,655.0,0
2,10,16,655.0,0
2,11,16,677.0,0
2,12,16,661.0,0
2,13,16,660.0,0
2,14,16,660.0,0
2,15,16,660.0,0
2,16,16,672.0,0
2,17,16,737.0,0
2,18,16,737.0,0
2,19,16,736.0,0
3,0,16,658.0,0
3,1,16,658.0,0
3,2,16,658.0,0
3,3,16,658.0,0
3,4,16,658.0,0
3,5,16,657.0,0
3,6,16,659.0,0
