session,iteration,q,host_elapsed_us,ret
1,0,4,497.0,0
1,1,4,494.0,0
1,2,4,496.0,0
1,3,4,496.0,0
1,4,4,475.0,0
1,5,4,517.0,0
1,6,4,501.0,0
1,7,4,499.0,0
1,8,4,500.0,0
1,9,4,498.0,0
1,10,4,497.0,0
1,11,4,498.0,0
1,12,4,496.0,0
1,13,4,497.0,0
1,14,4,497.0,0
1,15,4,497.0,0
1,16,4,499.0,0
1,17,4,498.0,0
1,18,4,498.0,0
1,19,4,496.0,0
2,0,4,531.0,0
2,1,4,549.0,0
2,2,4,548.0,0
2,3,4,548.0,0
2,4,4,548.0,0
2,5,4,548.0,0
2,6,4,548.0,0
2,7,4,549.0,0
2,8,4,444.0,0
2,9,4,549.0,0
2,10,4,447.0,0
2,11,4,459.0,0
2,12,4,549.0,0
2,13,4,549.0,0
2,14,4,549.0,0
2,15,4,548.0,0
2,16,4,549.0,0
2,17,4,548.0,0
2,18,4,548.0,0
2,19,4,479.0,0
3,0,4,500.0,0
3,1,4,498.0,0
3,2,4,490.0,0
3,3,4,498.0,0
3,4,4,497.0,0
3,5,4,497.0,0
3,6,4,490.0,0
3,7,4,491.0,0
3,8,4,491.0,0
3,9,4,490.0,0
3,10,4,489.0,0
3,11,4,488.0,0
3,12,4,491.0,0
3,13,4,500.0,0
3,14,4,498.0,0
3,15,4,498.0,0
3,16,4,499.0,0
3,17,4,498.0,0
3,18,4,498.0,0
3,19,4,500.0,0
4,0,4,549.0,0
4,1,4,549.0,0
4,2,4,548.0,0
4,3,4,548.0,0
4,4,4,547.0,0
4,5,4,547.0,0
4,6,4,548.0,0
4,7,4,439.0,0
4,8,4,552.0,0
4,9,4,547.0,0
4,10,4,438.0,0
4,11,4,511.0,0
4,12,4,589.0,0
4,13,4,520.0,0
4,14,4,545.0,0
4,15,4,457.0,0
4,16,4,443.0,0
4,17,4,547.0,0
4,18,4,547.0,0
4,19,4,574.0,0
5,0,4,479.0,0
5,1,4,516.0,0
5,2,4,479.0,0
5,3,4,474.0,0
5,4,4,478.0,0
5,5,4,480.0,0
5,6,4,479.0,0
5,7,4,479.0,0
5,8,4,480.0,0
5,9,4,479.0,0
5,10,4,478.0,0
5,11,4,481.0,0
5,12,4,479.0,0
5,13,4,478.0,0
5,14,4,476.0,0
5,15,4,496.0,0
5,16,4,644.0,0
5,17,4,489.0,0
5,18,4,479.0,0
5,19,4,479.0,0
1,0,8,439.0,0
1,1,8,441.0,0
1,2,8,549.0,0
1,3,8,440.0,0
1,4,8,550.0,0
1,5,8,440.0,0
1,6,8,549.0,0
1,7,8,440.0,0
1,8,8,549.0,0
1,9,8,550.0,0
1,10,8,550.0,0
1,11,8,440.0,0
1,12,8,549.0,0
1,13,8,550.0,0
1,14,8,440.0,0
1,15,8,549.0,0
1,16,8,520.0,0
1,17,8,549.0,0
1,18,8,549.0,0
1,19,8,550.0,0
2,0,8,524.0,0
2,1,8,524.0,0
2,2,8,529.0,0
2,3,8,524.0,0
2,4,8,471.0,0
2,5,8,534.0,0
2,6,8,535.0,0
2,7,8,532.0,0
2,8,8,534.0,0
2,9,8,535.0,0
2,10,8,523.0,0
2,11,8,523.0,0
2,12,8,524.0,0
2,13,8,525.0,0
2,14,8,523.0,0
2,15,8,558.0,0
2,16,8,533.0,0
2,17,8,532.0,0
2,18,8,534.0,0
2,19,8,535.0,0
3,0,8,550.0,0
3,1,8,550.0,0
3,2,8,548.0,0
3,3,8,440.0,0
3,4,8,440.0,0
3,5,8,439.0,0
3,6,8,440.0,0
3,7,8,439.0,0
3,8,8,550.0,0
3,9,8,440.0,0
3,10,8,549.0,0
3,11,8,440.0,0
3,12,8,549.0,0
3,13,8,549.0,0
3,14,8,440.0,0
3,15,8,440.0,0
3,16,8,440.0,0
3,17,8,440.0,0
3,18,8,440.0,0
3,19,8,440.0,0
4,0,8,550.0,0
4,1,8,441.0,0
4,2,8,549.0,0
4,3,8,441.0,0
4,4,8,550.0,0
4,5,8,441.0,0
4,6,8,441.0,0
4,7,8,451.0,0
4,8,8,440.0,0
4,9,8,440.0,0
4,10,8,548.0,0
4,11,8,439.0,0
4,12,8,549.0,0
4,13,8,439.0,0
4,14,8,440.0,0
4,15,8,549.0,0
4,16,8,438.0,0
4,17,8,439.0,0
4,18,8,438.0,0
4,19,8,516.0,0
5,0,8,440.0,0
5,1,8,548.0,0
5,2,8,439.0,0
5,3,8,548.0,0
5,4,8,548.0,0
5,5,8,548.0,0
5,6,8,548.0,0
5,7,8,549.0,0
5,8,8,548.0,0
5,9,8,548.0,0
5,10,8,548.0,0
5,11,8,439.0,0
5,12,8,439.0,0
5,13,8,547.0,0
5,14,8,440.0,0
5,15,8,558.0,0
5,16,8,549.0,0
5,17,8,439.0,0
5,18,8,578.0,0
5,19,8,528.0,0
1,0,16,658.0,0
1,1,16,657.0,0
1,2,16,657.0,0
1,3,16,658.0,0
1,4,16,658.0,0
1,5,16,658.0,0
1,6,16,657.0,0
1,7,16,657.0,0
1,8,16,548.0,0
1,9,16,658.0,0
1,10,16,658.0,0
1,11,16,658.0,0
1,12,16,574.0,0
1,13,16,659.0,0
1,14,16,658.0,0
1,15,16,657.0,0
1,16,16,657.0,0
1,17,16,658.0,0
1,18,16,656.0,0
1,19,16,656.0,0
2,0,16,666.0,0
2,1,16,658.0,0
2,2,16,660.0,0
2,3,16,658.0,0
2,4,16,657.0,0
2,5,16,655.0,0
2,6,16,657.0,0
2,7,16,657.0,0
2,8,16,656.0,0
2,9,16,656.0,0
2,10,16,659.0,0
2,11,16,657.0,0
2,12,16,658.0,0
2,13,16,658.0,0
2,14,16,659.0,0
2,15,16,657.0,0
2,16,16,656.0,0
2,17,16,730.0,0
2,18,16,726.0,0
2,19,16,719.0,0
3,0,16,555.0,0
3,1,16,657.0,0
3,2,16,657.0,0
3,3,16,658.0,0
3,4,16,658.0,0
3,5,16,658.0,0
3,6,16,658.0,0
3,7,16,658.0,0
3,8,16,657.0,0
3,9,16,658.0,0
3,10,16,658.0,0
3,11,16,658.0,0
3,12,16,658.0,0
3,13,16,658.0,0
3,14,16,549.0,0
3,15,16,613.0,0
3,16,16,598.0,0
3,17,16,599.0,0
3,18,16,596.0,0
3,19,16,597.0,0
4,0,16,622.0,0
4,1,16,621.0,0
4,2,16,621.0,0
4,3,16,619.0,0
4,4,16,618.0,0
4,5,16,620.0,0
4,6,16,621.0,0
4,7,16,621.0,0
4,8,16,619.0,0
4,9,16,621.0,0
4,10,16,626.0,0
4,11,16,626.0,0
4,12,16,620.0,0
4,13,16,621.0,0
4,14,16,622.0,0
4,15,16,621.0,0
4,16,16,638.0,0
4,17,16,723.0,0
4,18,16,740.0,0
4,19,16,710.0,0
5,0,16,655.0,0
5,1,16,660.0,0
5,2,16,656.0,0
5,3,16,715.0,0
5,4,16,657.0,0
5,5,16,657.0,0
5,6,16,656.0,0
5,7,16,657.0,0
5,8,16,659.0,0
5,9,16,657.0,0
5,10,16,656.0,0
5,11,16,653.0,0
5,12,16,656.0,0
5,13,16,660.0,0
5,14,16,672.0,0
5,15,16,655.0,0
5,16,16,659.0,0
5,17,16,657.0,0
5,18,16,656.0,0
5,19,16,655.0,0
1,0,32,877.0,0
1,1,32,767.0,0
1,2,32,767.0,0
1,3,32,768.0,0
1,4,32,767.0,0
1,5,32,767.0,0
1,6,32,767.0,0
1,7,32,767.0,0
1,8,32,767.0,0
1,9,32,767.0,0
1,10,32,790.0,0
1,11,32,865.0,0
1,12,32,868.0,0
1,13,32,865.0,0
1,14,32,864.0,0
1,15,32,866.0,0
1,16,32,866.0,0
1,17,32,866.0,0
